State,Incident Date,# Killed,Age
Georgia,"February 5, 2019",1,Adult
Georgia,"February 3, 2019",1,Adult
California,"February 3, 2019",1,Adult
New York,"February 1, 2019",1,Adult
Iowa,"January 27, 2019",1,Adult
Texas,"January 27, 2019",1,Adult
Missouri,"January 24, 2019",1,Adult
Ohio,"January 22, 2019",1,Adult
New York,"January 22, 2019",1,Adult
Texas,"January 22, 2019",1,Adult
Virginia,"January 21, 2019",1,Adult
Kansas,"January 21, 2019",1,Adult
Michigan,"January 20, 2019",1,Adult
Texas,"January 19, 2019",1,Adult
Texas,"January 19, 2019",2,Adult
Florida,"January 19, 2019",1,Adult
South Carolina,"January 19, 2019",1,Adult
Texas,"January 19, 2019",1,Adult
Alabama,"January 18, 2019",1,Adult
South Carolina,"January 17, 2019",1,Adult
Illinois,"January 17, 2019",1,Adult
Mississippi,"January 16, 2019",1,Adult
Pennsylvania,"January 16, 2019",1,Adult
Georgia,"January 16, 2019",1,Adult
North Carolina,"January 16, 2019",1,Adult
Texas,"January 16, 2019",1,Adult
Florida,"January 14, 2019",1,Adult
Alabama,"January 13, 2019",1,Adult
Oregon,"January 12, 2019",1,Adult
Louisiana,"January 12, 2019",1,Adult
Tennessee,"January 10, 2019",1,Adult
Virginia,"January 8, 2019",1,Adult
Alabama,"January 7, 2019",1,Adult
Alabama,"January 6, 2019",1,Adult
California,"January 6, 2019",1,Adult
Oklahoma,"January 5, 2019",1,Adult
Kentucky,"January 3, 2019",1,Adult
Georgia,"January 3, 2019",1,Adult
District of Columbia,"January 1, 2019",1,Adult
Indiana,"January 1, 2019",1,Adult
Georgia,"December 31, 2018",2,Adult
Missouri,"December 30, 2018",1,Adult
Texas,"December 30, 2018",1,Adult
California,"December 30, 2018",1,Adult
Mississippi,"December 26, 2018",1,Adult
Florida,"December 26, 2018",1,Adult
West Virginia,"December 25, 2018",1,Adult
Florida,"December 23, 2018",1,Adult
Texas,"December 22, 2018",1,Adult
South Carolina,"December 22, 2018",1,Adult
Colorado,"December 22, 2018",1,Adult
Missouri,"December 21, 2018",1,Adult
Tennessee,"December 20, 2018",1,Adult
Missouri,"December 19, 2018",1,Adult
Pennsylvania,"December 18, 2018",1,Adult
Kentucky,"December 16, 2018",1,Adult
North Carolina,"December 16, 2018",1,Adult
Oklahoma,"December 15, 2018",1,Adult
Texas,"December 15, 2018",1,Adult
Missouri,"December 14, 2018",1,Adult
Mississippi,"December 14, 2018",1,Adult
California,"December 14, 2018",1,Adult
Michigan,"December 14, 2018",1,Adult
Louisiana,"December 14, 2018",1,Adult
Illinois,"December 11, 2018",1,Adult
Louisiana,"December 10, 2018",1,Adult
Tennessee,"December 10, 2018",1,Adult
Iowa,"December 9, 2018",1,Adult
Iowa,"December 9, 2018",1,Adult
New York,"December 9, 2018",1,Adult
Iowa,"December 9, 2018",1,Adult
Oklahoma,"December 9, 2018",1,Adult
Tennessee,"February 16, 2020",1,Child
Pennsylvania,"February 9, 2020",1,Child
New Jersey,"February 7, 2020",1,Child
Louisiana,"February 7, 2020",1,Child
Alabama,"February 2, 2020",1,Child
Tennessee,"February 1, 2020",1,Child
Virginia,"February 1, 2020",1,Child
Texas,"January 31, 2020",1,Child
Pennsylvania,"January 30, 2020",1,Child
Alabama,"January 30, 2020",1,Child
Louisiana,"January 25, 2020",1,Child
Washington,"January 22, 2020",1,Child
Indiana,"January 19, 2020",1,Child
South Carolina,"January 1, 2020",2,Child
Texas,"December 25, 2019",1,Child
Alabama,"December 24, 2019",1,Child
Texas,"December 21, 2019",1,Child
Ohio,"December 14, 2019",1,Child
Ohio,"December 14, 2019",1,Child
Tennessee,"December 8, 2019",1,Child
Alabama,"December 7, 2019",1,Child
Tennessee,"November 29, 2019",1,Child
South Carolina,"November 28, 2019",1,Child
California,"November 20, 2019",1,Child
